,docId,subject,verb,object
0,7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[Howell],[began],"[planning, the, job, fair, in, the, spring, uncertain, how, much, interest, area, employers, had, in, holding, it]"
1,7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[Reyes],[noted],[changes]
2,7WR4-6G21-2R2Y-73JC-00000-00.txt,[Detroit],"[is, taking]","[meeting, business]"
3,7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Las, Vegas]","[has, felt]",[pinch]
4,7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Las, Vegas]",[had],"[meeting, cancellations]"
5,7WR4-6G21-2R2Y-73JC-00000-00.txt,[Burton],[launched],"[Nevada, Gaming]"
6,7WR4-6G21-2R2Y-73JC-00000-00.txt,[Herbst],[pays],"[group, 1, million]"
7,4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[Congress],[reconsidering],"[date, funds]"
8,4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[2008],[impaired],"[term, track, record]"
9,4VDJ-DVW0-TX4Y-70S3-00000-00.txt,"[Circuit, City]",[moved],[plug]
10,4VDJ-DVW0-TX4Y-70S3-00000-00.txt,"[Circuit, City, Stores]",[Inc.has],[stores]
11,4VDJ-DVW0-TX4Y-70S3-00000-00.txt,"[Circuit, City]",[opened],[doors]
12,4VDJ-DVW0-TX4Y-70S3-00000-00.txt,"[Circuit, City]","[had, been, seeking]","[buyer, deal]"
13,4VDJ-DVW0-TX4Y-70S3-00000-00.txt,"[Circuit, City]","[could, n't, secure]","[financing, support]"
14,7VJP-MPP1-2R2Y-710X-00000-00.txt,[UAE],"[is, considering]",[change]
15,7VJP-MPP1-2R2Y-710X-00000-00.txt,"[Al, Khalifa]",[told],"[Gulf, News]"
16,4P06-5J00-TXCN-S33B-00000-00.txt,"[Hurricane, Katrina]",[shut],"[Coast, oil, production]"
17,4SD2-N1S0-TX2Y-F19G-00000-00.txt,[Cyfrowy],[put],[IPO]
18,4SD2-N1S0-TX2Y-F19G-00000-00.txt,[Polsat],[added],[subscribers]
19,4TD4-V4M0-TW87-N162-00000-00.txt,[one],[has],[bamboo]
20,4TD4-V4M0-TW87-N162-00000-00.txt,[one],[has],[chairs]
21,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]","[is, struggling]","[to, mesh, its, culture, with, that, of, the, banks, it, bought]"
22,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]",[made],[name]
23,4TD4-V4M0-TW87-N162-00000-00.txt,[Dozens],"[have, quit]","[to, go, to, more, entrepreneurial, firms, such, as, Signature, Bank]"
24,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]",[contemplated],"[giving, the, "", senior, vice, presidents, "", at, the, bank, branches]"
25,4TD4-V4M0-TW87-N162-00000-00.txt,[Fairbank],[attended],[Stanford]
26,4TD4-V4M0-TW87-N162-00000-00.txt,[Signet],[started],"[to, reap, huge, profits]"
27,4TD4-V4M0-TW87-N162-00000-00.txt,"[Growing, Pains, Fairbank]",[decided],"[to, buy, banks, after, what, he, called, a, life, -, changing, 2002]"
28,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]","[to, get]","[investor, loans]"
29,4TD4-V4M0-TW87-N162-00000-00.txt,[Fairbank],[courted],[leaders]
30,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]","[did, not, want]","[to, mess, with, their, successful, model]"
31,4TD4-V4M0-TW87-N162-00000-00.txt,"[Hurricane, Katrina]",[walloped],"[Gulf, Coast]"
32,4TD4-V4M0-TW87-N162-00000-00.txt,[Kanas],[saw],[bank]
33,4TD4-V4M0-TW87-N162-00000-00.txt,[Kanas],[declined],"[to, comment]"
34,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]","[had, avoided]","[mortgage, business]"
35,4TD4-V4M0-TW87-N162-00000-00.txt,[GreenPoint],"[was, facing]",[losses]
36,4TD4-V4M0-TW87-N162-00000-00.txt,"[Capital, One]",[increased],[dividend]
37,4TD4-V4M0-TW87-N162-00000-00.txt,[Fairbank],[took],[stage]
38,4TD4-V4M0-TW87-N162-00000-00.txt,[Fairbank],[displayed],[slides]
39,4TD4-V4M0-TW87-N162-00000-00.txt,[Fairbank],[runs],[company]
40,4T6N-D1B0-TX12-N0W2-00000-00.txt,[Democrats],"[should, stop]","[delaying, votes, on, three, pending, free, trade, agreements, with, Colombia, ,, South, Korea, and, Panama.\""We]"
41,4T6N-D1B0-TX12-N0W2-00000-00.txt,[Democrats],[see],[reason]
42,4T6N-D1B0-TX12-N0W2-00000-00.txt,[Bush],[took],[office]
43,7VJ2-R4F1-2R2Y-70S8-00000-00.txt,[FDIC],[considered],[matter]
44,7VJ2-R4F1-2R2Y-70S8-00000-00.txt,[FDIC],[sent],"[cease, desist, order]"
45,7V4B-GJD1-2R2Y-7180-00000-00.txt,[one],"[can, make]",[predictions]
46,7V4B-GJD1-2R2Y-7180-00000-00.txt,[Stinson],[interrupted],[number]
47,4V9P-VY20-TX12-N1M1-00000-00.txt,"[Jeff, Beck]",[said],"[interest, rates]"
48,4V9P-VY20-TX12-N1M1-00000-00.txt,[Fed],"[is, bound]","[to, help, this, market, rebound, and, get, economic, recovery, going,\]"
49,4V9P-VY20-TX12-N1M1-00000-00.txt,[Fed],[determined],"[to, help, this, market, rebound, and, get, economic, recovery, going,\]"
50,4VCM-GVP0-TWTK-S1H3-00000-00.txt,[Pittsburgh],"[will, have]",[year]
51,4TS7-8D50-TX12-N155-00000-00.txt,[Suguitan],"[has, made]",[share]
